// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/davidkakis/RiderProjects/XMLParser/XMLParserConsole/bin/Release/netcoreapp2.1/712e58a5-b755-42f3-83a9-572416601593
// command took 3s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/davidkakis/RiderProjects/XMLParser/XMLParserConsole/bin/Release/netcoreapp2.1/712e58a5-b755-42f3-83a9-572416601593
// command took 8.79s and exited with 0
// ***** Done, took 00:00:12 (12.16 sec)   *****
// Found 2 benchmarks:
//   CompareXmlCorrection.BenchmarkRegex: DefaultJob
//   CompareXmlCorrection.BenchmarkLoopingChars: DefaultJob

// **************************
// Benchmark: CompareXmlCorrection.BenchmarkRegex: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "712e58a5-b755-42f3-83a9-572416601593.dll" --benchmarkName "XMLParserConsole.CompareXmlCorrection.BenchmarkRegex" --job "Default" --benchmarkId 0 in /Users/davidkakis/RiderProjects/XMLParser/XMLParserConsole/bin/Release/netcoreapp2.1/712e58a5-b755-42f3-83a9-572416601593/bin/Release/netcoreapp2.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.8 (CoreCLR 4.6.27317.03, CoreFX 4.6.27317.03), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 836418.00 ns, 836.4180 us/op
WorkloadJitting  1: 1 op, 19533519.00 ns, 19.5335 ms/op

OverheadJitting  2: 16 op, 2809833.00 ns, 175.6146 us/op
WorkloadJitting  2: 16 op, 5809945.00 ns, 363.1216 us/op

WorkloadPilot    1: 16 op, 2282999.00 ns, 142.6874 us/op
WorkloadPilot    2: 32 op, 5645984.00 ns, 176.4370 us/op
WorkloadPilot    3: 64 op, 9559610.00 ns, 149.3689 us/op
WorkloadPilot    4: 128 op, 19481826.00 ns, 152.2018 us/op
WorkloadPilot    5: 256 op, 39884351.00 ns, 155.7982 us/op
WorkloadPilot    6: 512 op, 77959632.00 ns, 152.2649 us/op
WorkloadPilot    7: 1024 op, 153373314.00 ns, 149.7786 us/op
WorkloadPilot    8: 2048 op, 315089073.00 ns, 153.8521 us/op
WorkloadPilot    9: 4096 op, 604591775.00 ns, 147.6054 us/op

OverheadWarmup   1: 4096 op, 29163.00 ns, 7.1199 ns/op
OverheadWarmup   2: 4096 op, 57249.00 ns, 13.9768 ns/op
OverheadWarmup   3: 4096 op, 25185.00 ns, 6.1487 ns/op
OverheadWarmup   4: 4096 op, 25055.00 ns, 6.1169 ns/op
OverheadWarmup   5: 4096 op, 25302.00 ns, 6.1772 ns/op
OverheadWarmup   6: 4096 op, 28826.00 ns, 7.0376 ns/op
OverheadWarmup   7: 4096 op, 27969.00 ns, 6.8284 ns/op

OverheadActual   1: 4096 op, 26743.00 ns, 6.5291 ns/op
OverheadActual   2: 4096 op, 23798.00 ns, 5.8101 ns/op
OverheadActual   3: 4096 op, 25588.00 ns, 6.2471 ns/op
OverheadActual   4: 4096 op, 30609.00 ns, 7.4729 ns/op
OverheadActual   5: 4096 op, 25222.00 ns, 6.1577 ns/op
OverheadActual   6: 4096 op, 28411.00 ns, 6.9363 ns/op
OverheadActual   7: 4096 op, 30277.00 ns, 7.3918 ns/op
OverheadActual   8: 4096 op, 25190.00 ns, 6.1499 ns/op
OverheadActual   9: 4096 op, 27365.00 ns, 6.6809 ns/op
OverheadActual  10: 4096 op, 26335.00 ns, 6.4294 ns/op
OverheadActual  11: 4096 op, 28194.00 ns, 6.8833 ns/op
OverheadActual  12: 4096 op, 27947.00 ns, 6.8230 ns/op
OverheadActual  13: 4096 op, 25076.00 ns, 6.1221 ns/op
OverheadActual  14: 4096 op, 40768.00 ns, 9.9531 ns/op
OverheadActual  15: 4096 op, 25463.00 ns, 6.2166 ns/op
OverheadActual  16: 4096 op, 24991.00 ns, 6.1013 ns/op
OverheadActual  17: 4096 op, 25372.00 ns, 6.1943 ns/op
